Code,Label
4420,"Ushers, lobby attendants, and ticket takers"
4435,Other entertainment attendants and related workers
4461,"Embalmers, crematory operators, and funeral attendants"
4465,"Morticians, undertakers, and funeral arrangers"
4500,Barbers
4510,"Hairdressers, hairstylists, and cosmetologists"
4521,Manicurists and pedicurists
4522,Skincare specialists
4525,Other personal appearance workers
4530,"Baggage porters, bellhops, and concierges"
4540,Tour and travel guides
4600,Childcare workers
4621,Exercise trainers and group fitness instructors
4622,Recreation workers
4640,Residential advisors
4655,"Personal care and service workers, all other"
4700,First-line supervisors of retail sales workers
4710,First-line supervisors of non-retail sales workers
4720,Cashiers
4740,Counter and rental clerks
4750,Parts salespersons
4760,Retail salespersons
4800,Advertising sales agents
4810,Insurance sales agents
4820,"Securities, commodities, and financial services sales agents"
4830,Travel agents
4840,"Sales representatives of services, except advertising, insurance, financial services, and travel"
4850,"Sales representatives, wholesale and manufacturing"
4900,"Models, demonstrators, and product promoters"
4920,Real estate brokers and sales agents
4930,Sales engineers
4940,Telemarketers
4950,"Door-to-door sales workers, news and street vendors, and related workers"
4965,"Sales and related workers, all other"
5000,First-line supervisors of office and administrative support workers
5010,"Switchboard operators, including answering service"
5020,Telephone operators
5040,"Communications equipment operators, all other"
5100,Bill and account collectors
5110,Billing and posting clerks
5120,"Bookkeeping, accounting, and auditing clerks"
5140,Payroll and timekeeping clerks
5150,Procurement clerks
5160,Tellers
5165,Other financial clerks
5220,"Court, municipal, and license clerks"
5230,"Credit authorizers, checkers, and clerks"
5240,Customer service representatives
5250,"Eligibility interviewers, government programs"
5260,File clerks
5300,"Hotel, motel, and resort desk clerks"
5310,"Interviewers, except eligibility and loan"
5320,"Library assistants, clerical"
5330,Loan interviewers and clerks
5340,New accounts clerks
5350,Correspondence clerks and order clerks
5360,"Human resources assistants, except payroll and timekeeping"
5400,Receptionists and information clerks
5410,Reservation and transportation ticket agents and travel clerks
5420,Other information and records clerks
5500,Cargo and freight agents
5510,Couriers and messengers
5521,Public safety telecommunicators
5522,"Dispatchers, except police, fire, and ambulance"
5530,"Meter readers, utilities"
5540,Postal service clerks
5550,Postal service mail carriers
5560,"Postal service mail sorters, processors, and processing machine operators"
5600,"Production, planning, and expediting clerks"
5610,"Shipping, receiving, and inventory clerks"
5630,"Weighers, measurers, checkers, and samplers, recordkeeping"
5710,Executive secretaries and executive administrative assistants
5720,Legal secretaries and administrative assistants
5730,Medical secretaries and administrative assistants
5740,"Secretaries and administrative assistants, except legal, medical, and executive"
5810,Data entry keyers
5820,Word processors and typists
5840,Insurance claims and policy processing clerks
5850,"Mail clerks and mail machine operators, except postal service"
5860,"Office clerks, general"
5900,"Office machine operators, except computer"
5910,Proofreaders and copy markers
5920,Statistical assistants
5940,Other office and administrative support workers
6005,"First-line supervisors of farming, fishing, and forestry workers"
6010,Agricultural inspectors
6040,"Graders and sorters, agricultural products"
6050,Other agricultural workers
6115,Fishing and hunting workers
6120,Forest and conservation workers
6130,Logging workers
6200,First-line supervisors of construction trades and extraction workers
6210,Boilermakers
6220,"Brickmasons, blockmasons, stonemasons, and reinforcing iron and rebar workers"
6230,Carpenters
6240,"Carpet, floor, and tile installers and finishers"
6250,"Cement masons, concrete finishers, and terrazzo workers"
6260,Construction laborers
6305,Construction equipment operators
6330,"Drywall installers, ceiling tile installers, and tapers"
6355,Electricians
6360,Glaziers
6400,Insulation workers
6410,Painters and paperhangers
6441,Pipelayers
6442,"Plumbers, pipefitters, and steamfitters"
6460,Plasterers and stucco masons
6515,Roofers
6520,Sheet metal workers
6530,Structural iron and steel workers
6540,Solar photovoltaic installers
6600,"Helpers, construction trades"
6660,Construction and building inspectors
6700,Elevator installers and repairers
6710,Fence erectors
6720,Hazardous materials removal workers
6730,Highway maintenance workers
6740,Rail-track laying and maintenance equipment operators
6765,Other construction and related workers
6800,"Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining"
6825,Surface mining machine operators and earth drillers
6835,"Explosives workers, ordnance handling experts, and blasters"
6850,Underground mining machine operators
6950,Other extraction workers
7000,"First-line supervisors of mechanics, installers, and repairers"
7010,"Computer, automated teller, and office machine repairers"
7020,Radio and telecommunications equipment installers and repairers
7030,Avionics technicians
7040,"Electric motor, power tool, and related repairers"
7100,"Other electrical and electronic equipment mechanics, installers, and repairers"
7120,Electronic home entertainment equipment installers and repairers
7130,Security and fire alarm systems installers
7140,Aircraft mechanics and service technicians
7150,Automotive body and related repairers
7160,Automotive glass installers and repairers
7200,Automotive service technicians and mechanics
7210,Bus and truck mechanics and diesel engine specialists
7220,Heavy vehicle and mobile equipment service technicians and mechanics
7240,Small engine mechanics
7260,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers"
7300,Control and valve installers and repairers
7315,"Heating, air conditioning, and refrigeration mechanics and installers"
7320,Home appliance repairers
7330,Industrial and refractory machinery mechanics
7340,"Maintenance and repair workers, general"
7350,"Maintenance workers, machinery"
7360,Millwrights
7410,Electrical power-line installers and repairers
7420,Telecommunications line installers and repairers
7430,Precision instrument and equipment repairers
7510,"Coin, vending, and amusement machine servicers and repairers"
7540,Locksmiths and safe repairers
7560,Riggers
7610,"Helpers--installation, maintenance, and repair workers"
7640,"Other installation, maintenance, and repair workers"
7700,First-line supervisors of production and operating workers
7720,"Electrical, electronics, and electromechanical assemblers"
7730,Engine and other machine assemblers
7740,Structural metal fabricators and fitters
7750,Other assemblers and fabricators
7800,Bakers
7810,"Butchers and other meat, poultry, and fish processing workers"
7830,"Food and tobacco roasting, baking, and drying machine operators and tenders"
7840,Food batchmakers
7850,Food cooking machine operators and tenders
7855,"Food processing workers, all other"
7905,Computer numerically controlled tool operators and programmers
7925,"Forming machine setters, operators, and tenders, metal and plastic"
7950,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic"
8000,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic"
8025,"Other machine tool setters, operators, and tenders, metal and plastic"
8030,Machinists
8040,"Metal furnace operators, tenders, pourers, and casters"
8100,"Model makers, patternmakers, and molding machine setters, metal and plastic"
8130,Tool and die makers
8140,"Welding, soldering, and brazing workers"
8225,Other metal workers and plastic workers
8250,Prepress technicians and workers
8255,Printing press operators
8256,Print binding and finishing workers
8300,Laundry and dry-cleaning workers
8310,"Pressers, textile, garment, and related materials"
8320,Sewing machine operators
8335,Shoe and leather workers
8350,"Tailors, dressmakers, and sewers"
8365,"Textile machine setters, operators, and tenders"
8450,Upholsterers
8465,"Other textile, apparel, and furnishings workers"
8500,Cabinetmakers and bench carpenters
8510,Furniture finishers
8530,"Sawing machine setters, operators, and tenders, wood"
8540,"Woodworking machine setters, operators, and tenders, except sawing"
8555,Other woodworkers
8600,"Power plant operators, distributors, and dispatchers"
8610,Stationary engineers and boiler operators
8620,Water and wastewater treatment plant and system operators
8630,Miscellaneous plant and system operators
8640,"Chemical processing machine setters, operators, and tenders"
8650,"Crushing, grinding, polishing, mixing, and blending workers"
8710,Cutting workers
8720,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"
8730,"Furnace, kiln, oven, drier, and kettle operators and tenders"
8740,"Inspectors, testers, sorters, samplers, and weighers"
8750,Jewelers and precious stone and metal workers
8760,Dental and ophthalmic laboratory technicians and medical appliance technicians
8800,Packaging and filling machine operators and tenders
8810,Painting workers
8830,Photographic process workers and processing machine operators
8850,Adhesive bonding machine operators and tenders
8910,Etchers and engravers
8920,"Molders, shapers, and casters, except metal and plastic"
8930,"Paper goods machine setters, operators, and tenders"
8940,Tire builders
8950,Helpers--production workers
8990,"Miscellaneous production workers, including equipment operators and tenders"
9005,Supervisors of transportation and material moving workers
9030,Aircraft pilots and flight engineers
9040,Air traffic controllers and airfield operations specialists
9050,Flight attendants
9110,"Ambulance drivers and attendants, except emergency medical technicians"
9121,"Bus drivers, school"
9122,"Bus drivers, transit and intercity"
9130,Driver/sales workers and truck drivers
9141,Shuttle drivers and chauffeurs
9142,Taxi drivers
9150,"Motor vehicle operators, all other"
9210,Locomotive engineers and operators
9240,Railroad conductors and yardmasters
9265,Other rail transportation workers
9300,"Sailors and marine oilers, and ship engineers"
9310,Ship and boat captains and operators
9350,Parking attendants
9365,Transportation service attendants
9410,Transportation inspectors
9415,Passenger attendants
9430,Other transportation workers
9510,Crane and tower operators
9570,"Conveyor, dredge, and hoist and winch operators"
9600,Industrial truck and tractor operators
9610,Cleaners of vehicles and equipment
9620,"Laborers and freight, stock, and material movers, hand"
9630,Machine feeders and offbearers
9640,"Packers and packagers, hand"
9645,Stockers and order fillers
9650,Pumping station operators
9720,Refuse and recyclable material collectors
9760,Other material moving workers
9800,Military officer special and tactical operations leaders
9810,First-line enlisted military supervisors
9825,Military enlisted tactical operations and air/weapons specialists and crew members
9830,"Military, rank not specified"
9920,"Unemployed, with no work experience in the last 5 years or earlier or never worked"
